"btype", "mg","ipow","ttc","ptc","psz"
"1","7.000000000000001e-07","2800000000","50.5707","5057","4"
"1","7.000000000000001e-07","2800000000","48.9308","4893","8"
"1","7.000000000000001e-07","2800000000","45.9608","4596","16"
"1","7.000000000000001e-07","2800000000","40.981","4098","32"
"1","7.000000000000001e-07","2800000000","33.6812","3368","64"
"1","7.000000000000001e-07","2800000000","24.8317","2483","128"
"1","7.000000000000001e-07","2800000000","16.28","1628","256"
"1","7.000000000000001e-07","2800000000","9.6348","963","512"
"1","7.000000000000001e-07","2800000000","5.3089","530","1024"
"1","8.000000000000001e-07","3200000000","59.29","5929","1"
"1","8.000000000000001e-07","3200000000","58.7807","5878","2"
"1","8.000000000000001e-07","3200000000","57.8007","5780","4"
"1","8.000000000000001e-07","3200000000","55.9308","5593","8"
"1","8.000000000000001e-07","3200000000","52.5308","5253","16"
"1","8.000000000000001e-07","3200000000","46.84","4684","32"
"1","8.000000000000001e-07","3200000000","38.4912","3849","64"
"1","8.000000000000001e-07","3200000000","28.3817","2838","128"
"1","8.000000000000001e-07","3200000000","18.6028","1860","256"
"1","8.000000000000001e-07","3200000000","11.0148","1101","512"
"1","8.000000000000001e-07","3200000000","6.0689","606","1024"
"1","9.000000000000001e-07","3600000000","66.7007","6670","1"
"1","9.000000000000001e-07","3600000000","66.1307","6613","2"
"1","9.000000000000001e-07","3600000000","65.03","6503","4"
"1","9.000000000000001e-07","3600000000","62.9208","6292","8"
"1","9.000000000000001e-07","3600000000","59.1008","5910","16"
"1","9.000000000000001e-07","3600000000","52.691","5269","32"
"1","9.000000000000001e-07","3600000000","43.3012","4330","64"
"1","9.000000000000001e-07","3600000000","31.9317","3193","128"
"1","9.000000000000001e-07","3600000000","20.9328","2093","256"
"1","9.000000000000001e-07","3600000000","12.3948","1239","512"
"1","9.000000000000001e-07","3600000000","6.8289","682","1024"
"1","1e-06","4000000000","74.1107","7411","1"
"1","1e-06","4000000000","73.4807","7348","2"
"1","1e-06","4000000000","72.26","7226","4"
"1","1e-06","4000000000","69.9208","6992","8"
"1","1e-06","4000000000","65.6708","6567","16"
"1","1e-06","4000000000","58.551","5855","32"
"1","1e-06","4000000000","48.1212","4812","64"
"1","1e-06","4000000000","35.4817","3548","128"
"1","1e-06","4000000000","23.2628","2326","256"
"1","1e-06","4000000000","13.7748","1377","512"
"1","1e-06","4000000000","7.5889","758","1024"
"2","1.0000000000000001e-07","130000000","2.38071","238","1"
"2","1.0000000000000001e-07","130000000","2.36072","236","2"
"2","1.0000000000000001e-07","130000000","2.32074","232","4"
"2","1.0000000000000001e-07","130000000","2.25","225","8"
"2","1.0000000000000001e-07","130000000","2.11083","211","16"
"2","1.0000000000000001e-07","130000000","1.88096","188","32"
"2","1.0000000000000001e-07","130000000","1.54122","154","64"
"2","1.0000000000000001e-07","130000000","1.14173","114","128"
"2","1.0000000000000001e-07","130000000","0.742753","74","256"
"2","1.0000000000000001e-07","130000000","0.444801","44","512"
"2","1.0000000000000001e-07","130000000","0.248897","24","1024"
"2","2.0000000000000002e-07","260000000","4.79071","479","1"
"2","2.0000000000000002e-07","260000000","4.75072","475","2"
"2","2.0000000000000002e-07","260000000","4.67074","467","4"
"2","2.0000000000000002e-07","260000000","4.52077","452","8"
"2","2.0000000000000002e-07","260000000","4.24083","424","16"
"2","2.0000000000000002e-07","260000000","3.78096","378","32"
"2","2.0000000000000002e-07","260000000","3.11122","311","64"
"2","2.0000000000000002e-07","260000000","2.29173","229","128"
"2","2.0000000000000002e-07","260000000","1.50275","150","256"
"2","2.0000000000000002e-07","260000000","0.894801","89","512"
"2","2.0000000000000002e-07","260000000","0.498897","49","1024"
"2","3e-07","390000000","7.20071","720","1"
"2","3e-07","390000000","7.14072","714","2"
"2","3e-07","390000000","7.02074","702","4"
"2","3e-07","390000000","6.79077","679","8"
"2","3e-07","390000000","6.38083","638","16"
"2","3e-07","390000000","5.69","569","32"
"2","3e-07","390000000","4.67122","467","64"
"2","3e-07","390000000","3.44173","344","128"
"2","3e-07","390000000","2.26275","226","256"
"2","3e-07","390000000","1.3348","133","512"
"2","3e-07","390000000","0.738897","73","1024"
"2","4.0000000000000003e-07","520000000","9.61071","961","1"
"2","4.0000000000000003e-07","520000000","9.53072","953","2"
"2","4.0000000000000003e-07","520000000","9.37074","937","4"
"2","4.0000000000000003e-07","520000000","9.06077","906","8"
"2","4.0000000000000003e-07","520000000","8.51083","851","16"
"2","4.0000000000000003e-07","520000000","7.59096","759","32"
"2","4.0000000000000003e-07","520000000","6.24122","624","64"
"2","4.0000000000000003e-07","520000000","4.60173","460","128"
"2","4.0000000000000003e-07","520000000","3.01275","301","256"
"2","4.0000000000000003e-07","520000000","1.7848","178","512"
"2","4.0000000000000003e-07","520000000","0.988897","98","1024"
"2","5e-07","650000000","12.0207","1202","1"
"2","5e-07","650000000","11.92","1192","2"
"2","5e-07","650000000","11.7207","1172","4"
"2","5e-07","650000000","11.3408","1134","8"
"2","5e-07","650000000","10.6508","1065","16"
"2","5e-07","650000000","9.49096","949","32"
"2","5e-07","650000000","7.80122","780","64"
"2","5e-07","650000000","5.75173","575","128"
"2","5e-07","650000000","3.77275","377","256"
"2","5e-07","650000000","2.2348","223","512"
"2","5e-07","650000000","1.2389","123","1024"
"2","6e-07","780000000","14.4307","1443","1"
