Line Number,Attack.Type,Packet.Size,Initial.Energy.joules.,Transmission.Power.Watts.,Reception.Power.Watts.,Connection.Data.Rate.bits.sec.,Packets.Sent,Time.to.Compromise.seconds.
1291,std,1024,2.625,0.1,5.7,60058,26,0.443304805
1292,rte,1024,2.625,0.1,5.7,60058,26,0.443304805
1293,std,1024,2.625,0.1,5.7,70058,31,0.45311028
1294,rte,1024,2.625,0.1,5.7,70058,30,0.438493819
1295,std,1024,2.625,0.1,5.7,80058,35,0.447675435
1296,rte,1024,2.625,0.1,5.7,80058,35,0.447675435
1297,std,1024,2.625,0.9,0.1,58,1,17.65517241
1298,rte,1024,2.625,0.9,0.1,58,1,17.65517241
1299,std,1024,2.625,0.9,0.1,10058,170,17.30761583
1300,rte,1024,2.625,0.9,0.1,10058,17,1.730761583
1301,std,1024,2.625,0.9,0.1,20058,338,17.25555888
1302,rte,1024,2.625,0.9,0.1,20058,34,1.735766278
1303,std,1024,2.625,0.9,0.1,30058,507,17.27220707
1304,rte,1024,2.625,0.9,0.1,30058,51,1.737440948
1305,std,1024,2.625,0.9,0.1,40058,675,17.25498028
1306,rte,1024,2.625,0.9,0.1,40058,68,1.738279495
1307,std,1024,2.625,0.9,0.1,50058,844,17.26509249
1308,rte,1024,2.625,0.9,0.1,50058,85,1.738783012
1309,std,1024,2.625,0.9,0.1,60058,1012,17.25478704
1310,rte,1024,2.625,0.9,0.1,60058,102,1.739118852
1311,std,1024,2.625,0.9,0.1,70058,1181,17.26204002
1312,rte,1024,2.625,0.9,0.1,70058,119,1.739358817
1313,std,1024,2.625,0.9,0.1,80058,1349,17.25469035
1314,rte,1024,2.625,0.9,0.1,80058,135,1.726748108
1315,std,1024,2.625,0.9,0.9,58,1,17.65517241
1316,rte,1024,2.625,0.9,0.9,58,1,17.65517241
1317,std,1024,2.625,0.9,0.9,10058,19,1.934380593
1318,rte,1024,2.625,0.9,0.9,10058,10,1.018095049
1319,std,1024,2.625,0.9,0.9,20058,38,1.939974075
1320,rte,1024,2.625,0.9,0.9,20058,19,0.969987038
1321,std,1024,2.625,0.9,0.9,30058,57,1.941845765
1322,rte,1024,2.625,0.9,0.9,30058,29,0.987956617
1323,std,1024,2.625,0.9,0.9,40058,75,1.917220031
1324,rte,1024,2.625,0.9,0.9,40058,38,0.971391482
1325,std,1024,2.625,0.9,0.9,50058,94,1.922889448
1326,rte,1024,2.625,0.9,0.9,50058,47,0.961444724
1327,std,1024,2.625,0.9,0.9,60058,113,1.926670885
1328,rte,1024,2.625,0.9,0.9,60058,57,0.971860535
1329,std,1024,2.625,0.9,0.9,70058,132,1.929372805
1330,rte,1024,2.625,0.9,0.9,70058,66,0.964686403
1331,std,1024,2.625,0.9,0.9,80058,150,1.918609008
1332,rte,1024,2.625,0.9,0.9,80058,75,0.959304504
1333,std,1024,2.625,0.9,1.7,58,1,17.65517241
1334,rte,1024,2.625,0.9,1.7,58,1,17.65517241
1335,std,1024,2.625,0.9,1.7,10058,10,1.018095049
1336,rte,1024,2.625,0.9,1.7,10058,7,0.712666534
1337,std,1024,2.625,0.9,1.7,20058,20,1.021038987
1338,rte,1024,2.625,0.9,1.7,20058,13,0.663675342
1339,std,1024,2.625,0.9,1.7,30058,30,1.022024087
1340,rte,1024,2.625,0.9,1.7,30058,20,0.681349391
1341,std,1024,2.625,0.9,1.7,40058,40,1.02251735
1342,rte,1024,2.625,0.9,1.7,40058,26,0.664636277
1343,std,1024,2.625,0.9,1.7,50058,50,1.022813536
1344,rte,1024,2.625,0.9,1.7,50058,33,0.675056934
1345,std,1024,2.625,0.9,1.7,60058,60,1.023011089
