"","Packet.Size","Initial.Energy.joules.","Transmission.Power.Watts.","Reception.Power.Watts.","Connection.Data.Rate.bits.sec.","Packets.Sent","Time.to.Compromise.seconds."
"321",1024,2.625,0.9,0.9,70058,132,1.929372805
"323",1024,2.625,0.9,0.9,80058,150,1.918609008
"325",1024,2.625,0.9,1.7,58,1,17.65517241
"327",1024,2.625,0.9,1.7,10058,10,1.018095049
"329",1024,2.625,0.9,1.7,20058,20,1.021038987
"331",1024,2.625,0.9,1.7,30058,30,1.022024087
"333",1024,2.625,0.9,1.7,40058,40,1.02251735
"335",1024,2.625,0.9,1.7,50058,50,1.022813536
"337",1024,2.625,0.9,1.7,60058,60,1.023011089
"339",1024,2.625,0.9,1.7,70058,70,1.023152245
"341",1024,2.625,0.9,1.7,80058,80,1.023258138
"343",1024,2.625,0.9,2.5,58,1,17.65517241
"345",1024,2.625,0.9,2.5,10058,7,0.712666534
"347",1024,2.625,0.9,2.5,20058,14,0.714727291
"349",1024,2.625,0.9,2.5,30058,21,0.715416861
"351",1024,2.625,0.9,2.5,40058,27,0.690199211
"353",1024,2.625,0.9,2.5,50058,34,0.695513205
"355",1024,2.625,0.9,2.5,60058,41,0.699057578
"357",1024,2.625,0.9,2.5,70058,48,0.701590111
"359",1024,2.625,0.9,2.5,80058,54,0.690699243
"361",1024,2.625,0.9,3.3,58,1,17.65517241
"363",1024,2.625,0.9,3.3,10058,6,0.610857029
"365",1024,2.625,0.9,3.3,20058,11,0.561571443
"367",1024,2.625,0.9,3.3,30058,16,0.545079513
"369",1024,2.625,0.9,3.3,40058,21,0.536821609
"371",1024,2.625,0.9,3.3,50058,26,0.531863039
"373",1024,2.625,0.9,3.3,60058,31,0.528555729
"375",1024,2.625,0.9,3.3,70058,36,0.526192583
"377",1024,2.625,0.9,3.3,80058,41,0.524419796
"379",1024,2.625,0.9,4.1,58,1,17.65517241
"381",1024,2.625,0.9,4.1,10058,5,0.509047524
"383",1024,2.625,0.9,4.1,20058,9,0.459467544
"385",1024,2.625,0.9,4.1,30058,13,0.442877104
"387",1024,2.625,0.9,4.1,40058,17,0.434569874
"389",1024,2.625,0.9,4.1,50058,21,0.429581685
"391",1024,2.625,0.9,4.1,60058,25,0.426254621
"393",1024,2.625,0.9,4.1,70058,29,0.423877359
"395",1024,2.625,0.9,4.1,80058,33,0.422093982
"397",1024,2.625,0.9,4.9,58,1,17.65517241
"399",1024,2.625,0.9,4.9,10058,4,0.407238019
"401",1024,2.625,0.9,4.9,20058,7,0.357363645
"403",1024,2.625,0.9,4.9,30058,11,0.374742165
"405",1024,2.625,0.9,4.9,40058,14,0.357881072
"407",1024,2.625,0.9,4.9,50058,18,0.368212873
"409",1024,2.625,0.9,4.9,60058,21,0.358053881
"411",1024,2.625,0.9,4.9,70058,25,0.365411516
"413",1024,2.625,0.9,4.9,80058,28,0.358140348
"415",1024,2.625,0.9,5.7,58,1,17.65517241
"417",1024,2.625,0.9,5.7,10058,3,0.305428515
"419",1024,2.625,0.9,5.7,20058,6,0.306311696
"421",1024,2.625,0.9,5.7,30058,9,0.306607226
"423",1024,2.625,0.9,5.7,40058,12,0.306755205
"425",1024,2.625,0.9,5.7,50058,15,0.306844061
"427",1024,2.625,0.9,5.7,60058,18,0.306903327
"429",1024,2.625,0.9,5.7,70058,21,0.306945674
"431",1024,2.625,0.9,5.7,80058,24,0.306977441
"433",1024,2.625,1.7,0.1,58,1,17.65517241
"435",1024,2.625,1.7,0.1,10058,91,9.264664943
"437",1024,2.625,1.7,0.1,20058,182,9.291454781
"439",1024,2.625,1.7,0.1,30058,272,9.26635172
"441",1024,2.625,1.7,0.1,40058,362,9.253782016
"443",1024,2.625,1.7,0.1,50058,453,9.266690639
"445",1024,2.625,1.7,0.1,60058,543,9.258250358
"447",1024,2.625,1.7,0.1,70058,633,9.252219589
"449",1024,2.625,1.7,0.1,80058,724,9.260486148
"451",1024,2.625,1.7,0.9,58,1,17.65517241
"453",1024,2.625,1.7,0.9,10058,11,1.119904554
"455",1024,2.625,1.7,0.9,20058,21,1.072090936
"457",1024,2.625,1.7,0.9,30058,31,1.056091556
"459",1024,2.625,1.7,0.9,40058,41,1.048080284
"461",1024,2.625,1.7,0.9,50058,51,1.043269807
"463",1024,2.625,1.7,0.9,60058,61,1.040061274
"465",1024,2.625,1.7,0.9,70058,71,1.037768706
"467",1024,2.625,1.7,0.9,80058,81,1.036048865
"469",1024,2.625,1.7,1.7,58,1,17.65517241
"471",1024,2.625,1.7,1.7,10058,6,0.610857029
"473",1024,2.625,1.7,1.7,20058,11,0.561571443
"475",1024,2.625,1.7,1.7,30058,16,0.545079513
"477",1024,2.625,1.7,1.7,40058,22,0.562384542
"479",1024,2.625,1.7,1.7,50058,27,0.55231931
"481",1024,2.625,1.7,1.7,60058,32,0.545605914
"483",1024,2.625,1.7,1.7,70058,38,0.555425505
"485",1024,2.625,1.7,1.7,80058,43,0.550001249
"487",1024,2.625,1.7,2.5,58,1,17.65517241
"489",1024,2.625,1.7,2.5,10058,4,0.407238019
"491",1024,2.625,1.7,2.5,20058,8,0.408415595
"493",1024,2.625,1.7,2.5,30058,11,0.374742165
"495",1024,2.625,1.7,2.5,40058,15,0.383444006
"497",1024,2.625,1.7,2.5,50058,19,0.388669144
"499",1024,2.625,1.7,2.5,60058,22,0.375104066
"501",1024,2.625,1.7,2.5,70058,26,0.380027977
"503",1024,2.625,1.7,2.5,80058,29,0.370931075
"505",1024,2.625,1.7,3.3,58,1,17.65517241
"507",1024,2.625,1.7,3.3,10058,3,0.305428515
"509",1024,2.625,1.7,3.3,20058,6,0.306311696
"511",1024,2.625,1.7,3.3,30058,9,0.306607226
"513",1024,2.625,1.7,3.3,40058,11,0.281192271
"515",1024,2.625,1.7,3.3,50058,14,0.28638779
"517",1024,2.625,1.7,3.3,60058,17,0.289853142
"519",1024,2.625,1.7,3.3,70058,20,0.292329213
"521",1024,2.625,1.7,3.3,80058,22,0.281395988
"523",1024,2.625,1.7,4.1,58,1,17.65517241
"525",1024,2.625,1.7,4.1,10058,3,0.305428515
"527",1024,2.625,1.7,4.1,20058,5,0.255259747
"529",1024,2.625,1.7,4.1,30058,7,0.238472287
"531",1024,2.625,1.7,4.1,40058,9,0.230066404
"533",1024,2.625,1.7,4.1,50058,12,0.245475249
"535",1024,2.625,1.7,4.1,60058,14,0.238702587
"537",1024,2.625,1.7,4.1,70058,16,0.23386337
"539",1024,2.625,1.7,4.1,80058,18,0.230233081
"541",1024,2.625,1.7,4.9,58,1,17.65517241
"543",1024,2.625,1.7,4.9,10058,2,0.20361901
"545",1024,2.625,1.7,4.9,20058,4,0.204207797
"547",1024,2.625,1.7,4.9,30058,6,0.204404817
"549",1024,2.625,1.7,4.9,40058,8,0.20450347
"551",1024,2.625,1.7,4.9,50058,10,0.204562707
"553",1024,2.625,1.7,4.9,60058,12,0.204602218
"555",1024,2.625,1.7,4.9,70058,13,0.190013988
"557",1024,2.625,1.7,4.9,80058,15,0.191860901
"559",1024,2.625,1.7,5.7,58,1,17.65517241
"561",1024,2.625,1.7,5.7,10058,2,0.20361901
"563",1024,2.625,1.7,5.7,20058,4,0.204207797
