"","Packet.Size","Initial.Energy.joules.","Transmission.Power.Watts.","Reception.Power.Watts.","Connection.Data.Rate.bits.sec.","Packets.Sent","Time.to.Compromise.seconds."
"316",1024,2.625,0.9,0.9,40058,38,0.971391482
"318",1024,2.625,0.9,0.9,50058,47,0.961444724
"320",1024,2.625,0.9,0.9,60058,57,0.971860535
"322",1024,2.625,0.9,0.9,70058,66,0.964686403
"324",1024,2.625,0.9,0.9,80058,75,0.959304504
"326",1024,2.625,0.9,1.7,58,1,17.65517241
"328",1024,2.625,0.9,1.7,10058,7,0.712666534
"330",1024,2.625,0.9,1.7,20058,13,0.663675342
"332",1024,2.625,0.9,1.7,30058,20,0.681349391
"334",1024,2.625,0.9,1.7,40058,26,0.664636277
"336",1024,2.625,0.9,1.7,50058,33,0.675056934
"338",1024,2.625,0.9,1.7,60058,39,0.664957208
"340",1024,2.625,0.9,1.7,70058,46,0.67235719
"342",1024,2.625,0.9,1.7,80058,52,0.66511779
"344",1024,2.625,0.9,2.5,58,1,17.65517241
"346",1024,2.625,0.9,2.5,10058,5,0.509047524
"348",1024,2.625,0.9,2.5,20058,10,0.510519493
"350",1024,2.625,0.9,2.5,30058,15,0.511012043
"352",1024,2.625,0.9,2.5,40058,20,0.511258675
"354",1024,2.625,0.9,2.5,50058,25,0.511406768
"356",1024,2.625,0.9,2.5,60058,30,0.511505545
"358",1024,2.625,0.9,2.5,70058,35,0.511576123
"360",1024,2.625,0.9,2.5,80058,40,0.511629069
"362",1024,2.625,0.9,3.3,58,1,17.65517241
"364",1024,2.625,0.9,3.3,10058,5,0.509047524
"366",1024,2.625,0.9,3.3,20058,9,0.459467544
"368",1024,2.625,0.9,3.3,30058,13,0.442877104
"370",1024,2.625,0.9,3.3,40058,17,0.434569874
"372",1024,2.625,0.9,3.3,50058,21,0.429581685
"374",1024,2.625,0.9,3.3,60058,25,0.426254621
"376",1024,2.625,0.9,3.3,70058,29,0.423877359
"378",1024,2.625,0.9,3.3,80058,33,0.422093982
"380",1024,2.625,0.9,4.1,58,1,17.65517241
"382",1024,2.625,0.9,4.1,10058,4,0.407238019
"384",1024,2.625,0.9,4.1,20058,7,0.357363645
"386",1024,2.625,0.9,4.1,30058,11,0.374742165
"388",1024,2.625,0.9,4.1,40058,14,0.357881072
"390",1024,2.625,0.9,4.1,50058,17,0.347756602
"392",1024,2.625,0.9,4.1,60058,21,0.358053881
"394",1024,2.625,0.9,4.1,70058,24,0.350795056
"396",1024,2.625,0.9,4.1,80058,27,0.345349622
"398",1024,2.625,0.9,4.9,58,1,17.65517241
"400",1024,2.625,0.9,4.9,10058,3,0.305428515
"402",1024,2.625,0.9,4.9,20058,6,0.306311696
"404",1024,2.625,0.9,4.9,30058,9,0.306607226
"406",1024,2.625,0.9,4.9,40058,12,0.306755205
"408",1024,2.625,0.9,4.9,50058,15,0.306844061
"410",1024,2.625,0.9,4.9,60058,18,0.306903327
"412",1024,2.625,0.9,4.9,70058,21,0.306945674
"414",1024,2.625,0.9,4.9,80058,24,0.306977441
"416",1024,2.625,0.9,5.7,58,1,17.65517241
"418",1024,2.625,0.9,5.7,10058,3,0.305428515
"420",1024,2.625,0.9,5.7,20058,6,0.306311696
"422",1024,2.625,0.9,5.7,30058,8,0.272539756
"424",1024,2.625,0.9,5.7,40058,11,0.281192271
"426",1024,2.625,0.9,5.7,50058,13,0.265931519
"428",1024,2.625,0.9,5.7,60058,16,0.272802957
"430",1024,2.625,0.9,5.7,70058,18,0.263096292
"432",1024,2.625,0.9,5.7,80058,21,0.268605261
"434",1024,2.625,1.7,0.1,58,1,17.65517241
"436",1024,2.625,1.7,0.1,10058,6,0.610857029
"438",1024,2.625,1.7,0.1,20058,11,0.561571443
"440",1024,2.625,1.7,0.1,30058,16,0.545079513
"442",1024,2.625,1.7,0.1,40058,21,0.536821609
"444",1024,2.625,1.7,0.1,50058,26,0.531863039
"446",1024,2.625,1.7,0.1,60058,31,0.528555729
"448",1024,2.625,1.7,0.1,70058,36,0.526192583
"450",1024,2.625,1.7,0.1,80058,41,0.524419796
"452",1024,2.625,1.7,0.9,58,1,17.65517241
"454",1024,2.625,1.7,0.9,10058,4,0.407238019
"456",1024,2.625,1.7,0.9,20058,7,0.357363645
"458",1024,2.625,1.7,0.9,30058,11,0.374742165
"460",1024,2.625,1.7,0.9,40058,14,0.357881072
"462",1024,2.625,1.7,0.9,50058,18,0.368212873
"464",1024,2.625,1.7,0.9,60058,21,0.358053881
"466",1024,2.625,1.7,0.9,70058,25,0.365411516
"468",1024,2.625,1.7,0.9,80058,28,0.358140348
"470",1024,2.625,1.7,1.7,58,1,17.65517241
"472",1024,2.625,1.7,1.7,10058,3,0.305428515
"474",1024,2.625,1.7,1.7,20058,6,0.306311696
"476",1024,2.625,1.7,1.7,30058,8,0.272539756
"478",1024,2.625,1.7,1.7,40058,11,0.281192271
"480",1024,2.625,1.7,1.7,50058,14,0.28638779
"482",1024,2.625,1.7,1.7,60058,16,0.272802957
"484",1024,2.625,1.7,1.7,70058,19,0.277712752
"486",1024,2.625,1.7,1.7,80058,22,0.281395988
"488",1024,2.625,1.7,2.5,58,1,17.65517241
"490",1024,2.625,1.7,2.5,10058,3,0.305428515
"492",1024,2.625,1.7,2.5,20058,5,0.255259747
"494",1024,2.625,1.7,2.5,30058,7,0.238472287
"496",1024,2.625,1.7,2.5,40058,9,0.230066404
"498",1024,2.625,1.7,2.5,50058,11,0.225018978
"500",1024,2.625,1.7,2.5,60058,13,0.221652403
"502",1024,2.625,1.7,2.5,70058,16,0.23386337
"504",1024,2.625,1.7,2.5,80058,18,0.230233081
"506",1024,2.625,1.7,3.3,58,1,17.65517241
"508",1024,2.625,1.7,3.3,10058,2,0.20361901
"510",1024,2.625,1.7,3.3,20058,4,0.204207797
"512",1024,2.625,1.7,3.3,30058,6,0.204404817
"514",1024,2.625,1.7,3.3,40058,8,0.20450347
"516",1024,2.625,1.7,3.3,50058,10,0.204562707
"518",1024,2.625,1.7,3.3,60058,11,0.187552033
"520",1024,2.625,1.7,3.3,70058,13,0.190013988
"522",1024,2.625,1.7,3.3,80058,15,0.191860901
"524",1024,2.625,1.7,4.1,58,1,17.65517241
"526",1024,2.625,1.7,4.1,10058,2,0.20361901
"528",1024,2.625,1.7,4.1,20058,4,0.204207797
"530",1024,2.625,1.7,4.1,30058,5,0.170337348
"532",1024,2.625,1.7,4.1,40058,7,0.178940536
"534",1024,2.625,1.7,4.1,50058,8,0.163650166
"536",1024,2.625,1.7,4.1,60058,10,0.170501848
"538",1024,2.625,1.7,4.1,70058,11,0.160781067
"540",1024,2.625,1.7,4.1,80058,13,0.166279447
"542",1024,2.625,1.7,4.9,58,1,17.65517241
"544",1024,2.625,1.7,4.9,10058,2,0.20361901
"546",1024,2.625,1.7,4.9,20058,3,0.153155848
"548",1024,2.625,1.7,4.9,30058,5,0.170337348
"550",1024,2.625,1.7,4.9,40058,6,0.153377602
"552",1024,2.625,1.7,4.9,50058,7,0.143193895
"554",1024,2.625,1.7,4.9,60058,9,0.153451663
"556",1024,2.625,1.7,4.9,70058,10,0.146164606
"558",1024,2.625,1.7,4.9,80058,11,0.140697994
"560",1024,2.625,1.7,5.7,58,1,17.65517241
"562",1024,2.625,1.7,5.7,10058,2,0.20361901
"564",1024,2.625,1.7,5.7,20058,3,0.153155848
"566",1024,2.625,1.7,5.7,30058,4,0.136269878
"568",1024,2.625,1.7,5.7,40058,5,0.127814669
"570",1024,2.625,1.7,5.7,50058,7,0.143193895
"572",1024,2.625,1.7,5.7,60058,8,0.136401479
"574",1024,2.625,1.7,5.7,70058,9,0.131548146
"576",1024,2.625,1.7,5.7,80058,10,0.127907267
"578",1024,2.625,2.5,0.1,58,1,17.65517241
"580",1024,2.625,2.5,0.1,10058,1,0.101809505
"582",1024,2.625,2.5,0.1,20058,1,0.051051949
"584",1024,2.625,2.5,0.1,30058,2,0.068134939
"586",1024,2.625,2.5,0.1,40058,2,0.051125867
"588",1024,2.625,2.5,0.1,50058,3,0.061368812
"590",1024,2.625,2.5,0.1,60058,3,0.051150554
"592",1024,2.625,2.5,0.1,70058,4,0.058465843
"594",1024,2.625,2.5,0.1,80058,4,0.051162907
"596",1024,2.625,2.5,0.9,58,1,17.65517241
"598",1024,2.625,2.5,0.9,10058,1,0.101809505
"600",1024,2.625,2.5,0.9,20058,1,0.051051949
"602",1024,2.625,2.5,0.9,30058,2,0.068134939
"604",1024,2.625,2.5,0.9,40058,2,0.051125867
"606",1024,2.625,2.5,0.9,50058,2,0.040912541
"608",1024,2.625,2.5,0.9,60058,3,0.051150554
"610",1024,2.625,2.5,0.9,70058,3,0.043849382
"612",1024,2.625,2.5,0.9,80058,3,0.03837218
"614",1024,2.625,2.5,1.7,58,1,17.65517241
"616",1024,2.625,2.5,1.7,10058,1,0.101809505
"618",1024,2.625,2.5,1.7,20058,1,0.051051949
"620",1024,2.625,2.5,1.7,30058,1,0.03406747
"622",1024,2.625,2.5,1.7,40058,2,0.051125867
"624",1024,2.625,2.5,1.7,50058,2,0.040912541
"626",1024,2.625,2.5,1.7,60058,2,0.03410037
"628",1024,2.625,2.5,1.7,70058,3,0.043849382
"630",1024,2.625,2.5,1.7,80058,3,0.03837218
"632",1024,2.625,2.5,2.5,58,1,17.65517241
"634",1024,2.625,2.5,2.5,10058,1,0.101809505
"636",1024,2.625,2.5,2.5,20058,1,0.051051949
"638",1024,2.625,2.5,2.5,30058,1,0.03406747
"640",1024,2.625,2.5,2.5,40058,1,0.025562934
"642",1024,2.625,2.5,2.5,50058,2,0.040912541
"644",1024,2.625,2.5,2.5,60058,2,0.03410037
"646",1024,2.625,2.5,2.5,70058,2,0.029232921
"648",1024,2.625,2.5,2.5,80058,2,0.025581453
"650",1024,2.625,2.5,3.3,58,1,17.65517241
"652",1024,2.625,2.5,3.3,10058,1,0.101809505
"654",1024,2.625,2.5,3.3,20058,1,0.051051949
"656",1024,2.625,2.5,3.3,30058,1,0.03406747
"658",1024,2.625,2.5,3.3,40058,1,0.025562934
"660",1024,2.625,2.5,3.3,50058,2,0.040912541
"662",1024,2.625,2.5,3.3,60058,2,0.03410037
"664",1024,2.625,2.5,3.3,70058,2,0.029232921
"666",1024,2.625,2.5,3.3,80058,2,0.025581453
"668",1024,2.625,2.5,4.1,58,1,17.65517241
"670",1024,2.625,2.5,4.1,10058,1,0.101809505
"672",1024,2.625,2.5,4.1,20058,1,0.051051949
"674",1024,2.625,2.5,4.1,30058,1,0.03406747
"676",1024,2.625,2.5,4.1,40058,1,0.025562934
"678",1024,2.625,2.5,4.1,50058,1,0.020456271
"680",1024,2.625,2.5,4.1,60058,2,0.03410037
"682",1024,2.625,2.5,4.1,70058,2,0.029232921
"684",1024,2.625,2.5,4.1,80058,2,0.025581453
"686",1024,2.625,2.5,4.9,58,1,17.65517241
"688",1024,2.625,2.5,4.9,10058,1,0.101809505
"690",1024,2.625,2.5,4.9,20058,1,0.051051949
"692",1024,2.625,2.5,4.9,30058,1,0.03406747
"694",1024,2.625,2.5,4.9,40058,1,0.025562934
"696",1024,2.625,2.5,4.9,50058,1,0.020456271
"698",1024,2.625,2.5,4.9,60058,1,0.017050185
"700",1024,2.625,2.5,4.9,70058,2,0.029232921
"702",1024,2.625,2.5,4.9,80058,2,0.025581453
"704",1024,2.625,2.5,5.7,58,1,17.65517241
"706",1024,2.625,2.5,5.7,10058,1,0.101809505
"708",1024,2.625,2.5,5.7,20058,1,0.051051949
"710",1024,2.625,2.5,5.7,30058,1,0.03406747
"712",1024,2.625,2.5,5.7,40058,1,0.025562934
"714",1024,2.625,2.5,5.7,50058,1,0.020456271
"716",1024,2.625,2.5,5.7,60058,1,0.017050185
"718",1024,2.625,2.5,5.7,70058,2,0.029232921
"720",1024,2.625,2.5,5.7,80058,2,0.025581453
"722",1024,5.125,0.1,0.1,58,2,35.31034483
"724",1024,5.125,0.1,0.1,10058,247,25.1469477
"726",1024,5.125,0.1,0.1,20058,493,25.16861103
"728",1024,5.125,0.1,0.1,30058,738,25.14179253
"730",1024,5.125,0.1,0.1,40058,983,25.12836387
